,5days_sleep_time_activity,5days_day_time_activity,Id
0,10693.6,228824.0,condition
1,48771.2,239278.2,condition
2,43211.0,317726.0,condition
3,56892.4,194298.2,condition
4,31303.8,200302.2,condition
5,26634.2,240767.8,condition
6,61643.6,335598.2,condition
7,34374.2,284320.6,condition
8,42992.0,203120.0,condition
9,25811.0,482765.0,condition
10,50147.0,153494.6,condition
11,34576.6,228420.4,condition
12,62330.8,291661.6,condition
13,42878.0,72237.4,condition
14,42016.2,164387.4,condition
15,17938.8,397321.0,condition
16,24344.6,85835.4,condition
17,40038.4,64142.0,condition
18,17014.0,189703.4,condition
19,10301.8,84496.8,condition
20,4627.0,91568.8,condition
21,18023.6,183974.4,condition
22,29581.2,235831.4,condition
23,62703.4,257546.4,control
24,51929.0,475113.4,control
25,34742.8,347817.0,control
26,23481.0,255676.4,control
27,49904.8,398723.0,control
28,103205.0,431101.8,control
29,115329.4,479807.0,control
30,124525.0,467588.6,control
31,19149.8,169119.2,control
32,35635.0,293293.2,control
33,37543.8,233625.8,control
34,30825.2,227922.0,control
35,28298.2,246814.8,control
36,97899.4,471340.6,control
37,64710.4,373257.6,control
38,50966.2,343819.2,control
39,54870.4,304521.0,control
40,54821.6,327886.0,control
41,79226.0,233218.6,control
42,62504.0,480728.2,control
43,129507.8,260240.4,control
44,41799.6,326000.6,control
45,43280.4,249467.8,control
46,65133.6,584654.0,control
47,67783.8,462165.4,control
48,111668.2,464377.6,control
49,84647.2,331799.6,control
50,96948.4,343388.2,control
51,60045.6,327889.8,control
52,45442.2,284416.2,control
53,60903.2,392232.0,control
54,47928.8,151957.4,control
