,Unnamed: 0,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00.6,Id
0,0,787,417,362,2021,622,290,1016,1597,4408,18645,26021,6717,24513,15965,9807,26062,7983,19517,36661,15938,11200,19040,11975,22024,control
1,0,19821,164,163,224,249,340,1434,35928,29828,18292,26171,19269,14603,20567,18790,42468,42303,12644,9198,15428,19415,15960,16701,31403,control
2,0,0,0,0,0,0,0,0,0,0,14477,28371,24931,23245,18855,18167,27835,14354,5810,22867,22095,25577,11650,9294,15370,control
3,0,324,1347,6075,1098,592,1804,2033,453,822,1002,21124,23978,26803,12794,24578,14515,18801,10116,5013,13454,26425,23871,16715,10516,control
4,0,324,326,1034,92,327,6107,42261,36681,19307,22059,29971,24933,23364,27720,24072,25939,21582,30911,11526,40735,52689,16615,24852,1981,control
5,0,4064,265,113,198,701,334,706,2300,28770,18972,54528,13420,38380,30268,16470,43664,25517,17048,15124,17203,56020,28938,32734,25648,control
6,0,43504,577,1258,1468,453,1932,1129,1657,3703,51484,72107,80940,65937,42088,59616,37019,28338,35513,14157,20276,21498,29806,19691,50203,control
7,0,2250,2637,8221,1076,1691,626,1265,21344,35969,38164,27076,30551,36974,39322,36323,28109,33642,34846,49955,11876,10302,38631,23577,48596,control
8,0,376,396,418,420,420,420,596,420,420,420,420,420,1584,13760,16590,25854,246,1176,16087,13704,3392,2900,14816,4166,control
9,0,245,275,666,592,528,338,782,421,562,947,3632,17027,39539,44044,23937,52405,23831,33020,37708,36301,35694,33266,10719,5220,control
10,0,3244,58,154,353,0,141,12249,28460,15602,22109,21206,13483,37382,21345,16862,19415,20680,1229,1460,12650,3493,10707,4526,7534,control
11,0,2881,261,625,208,44,942,23825,14542,15416,12268,16617,27237,24557,14564,6500,19495,530,24311,522,7457,819,3389,10957,7501,control
12,0,429,250,1799,498,893,6205,35263,26248,19721,30475,20539,18921,27636,25911,18584,26660,14675,17686,40415,22206,8316,7373,2448,5215,control
13,0,3113,921,1231,425,1605,21080,52445,37364,58310,80610,80311,27816,70127,87431,29468,46175,18109,26292,38584,39306,13946,13876,12978,16520,control
14,0,476,1014,209,670,552,499,36197,33290,19119,21688,27924,24722,17332,37350,19215,47667,32689,6888,54006,20093,38300,16166,9807,6837,control
15,0,786,976,676,712,349,1131,23373,26079,13369,22669,11649,14858,17941,27170,28882,28894,28797,24227,23245,10740,8455,11158,20010,1161,control
16,0,3599,559,258,593,389,14113,30561,22233,16731,6454,6390,8716,14159,10955,22539,25608,31371,13009,22659,18306,7500,11315,12620,17083,control
17,0,17634,14291,11727,3048,327,359,697,128,1148,1536,16719,22591,28104,64461,32312,16873,24107,13015,15090,19600,15257,17305,12850,24816,control
18,0,9970,21482,845,1673,1566,640,6894,2056,621,4133,19264,35834,15602,19947,31139,13853,20029,17638,15786,6472,8484,24958,4696,49939,control
19,0,802,688,431,971,286,479,18600,57786,29562,25868,13670,14694,19760,29234,39123,66901,36986,37305,30655,36535,35665,12200,175,812,control
20,0,8689,11925,23,148,679,1532,90,2582,663,930,305,11844,37750,41266,25875,28981,22817,55350,24283,10039,34380,38541,13536,12220,control
21,0,3865,1308,926,1128,1242,642,1084,8661,35391,31015,38099,35647,14281,18773,14041,15840,15023,16632,31395,29020,6313,14285,19247,13314,control
22,0,338,405,2680,589,849,816,19223,13119,10567,13089,8861,16753,16107,12552,12892,14407,22213,14714,33949,8446,9054,6417,15404,12917,control
23,0,25370,978,647,307,334,317,621,208,1822,25465,48486,23646,49192,19913,43388,47058,63666,49477,134139,42402,14464,67261,36359,15283,control
24,0,682,422,165,290,387,5918,54406,22398,34821,28460,29824,12531,19202,31689,39418,8061,51386,57589,32992,55451,27393,17941,21495,1634,control
25,0,659,498,1389,644,967,683,37286,33460,33571,27345,44815,34414,49044,40401,38106,32787,31285,45943,20690,16626,40523,27608,22919,14948,control
26,0,5566,1044,76,396,1184,621,5976,33138,19621,17548,13880,19756,11327,11170,15888,28996,24525,27072,45821,46507,6912,5822,11916,40755,control
27,0,15671,25457,146,214,1972,8277,6730,7284,57561,23664,16687,30867,15596,35854,34474,41175,9352,48959,29845,37521,23469,5462,15772,17994,control
28,0,15932,485,231,495,1201,1011,2297,607,756,16301,19286,51055,64562,46913,64800,44072,14732,28258,14315,18692,9700,16989,8419,19614,control
29,0,842,979,924,1949,1648,1180,703,2177,18656,25444,19036,5026,9511,9600,5652,11722,5136,25374,8642,18550,19363,7876,14657,11057,control
30,0,1140,157,45,549,728,2031,610,1440,29570,46378,79377,20498,18186,20546,6177,37750,28836,25385,9703,21486,167029,21083,28214,21848,control
31,0,2844,228,291,545,415,982,337,656,58,767,1073,3396,28156,11484,9238,25383,6779,31301,21562,5359,4106,5526,1117,13219,control
