,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00.1,01:00.1,02:00.1,03:00.1,04:00.1,05:00.1,06:00.1,07:00.1,08:00.1,09:00.1,10:00.1,11:00.1,12:00.1,13:00.1,14:00.1,15:00.1,16:00.1,17:00.1,18:00.1,19:00.1,20:00.1,21:00.1,22:00.1,23:00.1,00:00.2,01:00.2,02:00.2,03:00.2,04:00.2,05:00.2,06:00.2,07:00.2,08:00.2,09:00.2,10:00.2,11:00.2,12:00.2,13:00.2,14:00.2,15:00.2,16:00.2,17:00.2,18:00.2,19:00.2,20:00.2,21:00.2,22:00.2,23:00.2,00:00.3,01:00.3,02:00.3,03:00.3,04:00.3,05:00.3,06:00.3,07:00.3,08:00.3,09:00.3,10:00.3,11:00.3,12:00.3,13:00.3,14:00.3,15:00.3,16:00.3,17:00.3,18:00.3,19:00.3,20:00.3,21:00.3,22:00.3,23:00.3,00:00.4,01:00.4,02:00.4,03:00.4,04:00.4,05:00.4,06:00.4,07:00.4,08:00.4,09:00.4,10:00.4,11:00.4,12:00.4,13:00.4,14:00.4,15:00.4,16:00.4,17:00.4,18:00.4,19:00.4,20:00.4,21:00.4,22:00.4,23:00.4
0,480,245,424,242,733,58,600,822,8804,6687,23739,21117,14840,20882,16793,4555,22090,23678,18468,15814,9859,7203,2791,4072,4182,1335,661,125,759,271,386,340,2193,9709,13730,25949,11544,2301,464,9641,10914,16567,17908,13408,19987,10687,3492,2202,6037,5918,463,197,222,35,118,1067,13893,20380,4371,7000,20824,12470,13654,11093,12402,11533,26855,9421,3605,2860,4798,5129,166,55,245,391,1222,477,824,652,7078,9496,13684,16049,11809,10704,17998,3762,9137,7469,7432,8670,3432,3129,2638,6674,166,160,747,315,589,581,581,592,1014,8674,19068,22095,22062,42136,62091,47746,19932,68238,57597,53561,14652,8412,3382,1908
1,1532,1535,546,270,5704,9447,28610,19627,24468,30029,43085,19955,19048,30845,23816,29557,23204,15980,9892,8865,2279,24152,1160,283,1151,243,555,1761,2912,11450,31214,21983,16881,30703,19239,20986,16557,8688,26858,29238,27710,18044,39671,14055,7505,1563,1399,1133,777,871,1576,1721,598,7000,1150,682,2502,25881,13779,35994,26956,13381,13910,10837,24982,12690,19883,300,1192,752,6020,377,632,636,1900,5100,5000,1548,1649,12497,12434,12122,24760,21349,14703,11530,18993,644,370,711,6003,7846,4372,1136,1194,579,1212,603,844,1180,6566,975,28624,16372,15269,56551,37520,28160,8386,31308,32131,29361,7279,6324,369,2977,5339,425,2334,3231
2,4408,2075,480,480,480,480,480,480,485,19090,30306,15567,19259,23582,26507,62600,36530,40782,19567,10192,19797,33566,14499,16344,14402,8080,411,707,682,681,3480,945,965,17830,16983,15131,11743,27088,16386,23787,23360,16237,16766,5210,32923,8847,7423,9276,7454,4117,342,491,1473,588,1008,985,3926,6367,987,3018,14078,2757,12367,26722,32398,20046,27227,20187,22848,68830,16202,24706,4246,296,3739,1277,848,478,1081,2024,3134,27153,21322,22512,40711,28922,30232,36360,49405,29573,38460,27375,29236,16496,17364,35313,17275,19926,8288,3472,1070,1289,2509,2121,1280,6296,18114,14317,22172,51253,36196,54301,22786,11387,313,858,14527,15971,9636,5268
3,2220,423,203,28,569,388,11980,17591,16399,22316,7254,5525,18706,22042,8224,9726,13633,4575,22695,33011,25630,46288,39667,28332,7965,10064,8475,9645,10301,4733,6929,654,4597,204,104,4858,21268,15837,10829,6058,3827,7065,12234,10209,13200,11076,17791,6318,5561,7271,12511,358,154,347,231,504,499,4796,225,254,241,760,12666,17196,25530,16149,19187,12875,15889,25213,16213,13394,4204,11352,5445,3169,10285,501,1202,269,584,332,265,509,882,16019,14777,7654,9234,23430,5445,29340,12420,14398,24774,31817,7008,9139,6893,11538,550,376,318,703,495,402,216,1269,8799,17063,20002,19351,13525,7144,17898,35848,26382,19299,21194,12544
4,4835,3959,6457,807,1710,360,532,544,949,9951,5784,9262,9736,29579,41204,62282,15433,806,14013,15777,8858,6839,16246,14172,12902,6384,8436,989,1703,1117,443,559,71,13900,11132,11869,10887,29002,20231,24102,16103,14114,23775,14875,16016,15677,7811,6161,8509,252,3302,1736,2338,4583,1641,471,265,835,1087,17418,12370,27556,25203,15246,11327,19546,6086,13835,13507,4424,5408,5647,4759,2900,166,132,2340,2612,392,90,596,8207,6765,6815,28367,37908,19436,3066,10718,14736,970,6146,4239,22260,3997,8083,5043,9013,177,546,2634,198,135,214,448,648,9936,9443,20676,24589,23162,21270,21128,5430,55,9985,16721,10956,2441,16536
5,4594,175,612,192,705,950,307,17239,14846,6839,39950,17948,5718,27877,24820,26181,2735,5547,10942,30557,6484,4104,6206,10447,8922,4631,795,644,851,843,9392,15528,24422,9967,4412,13881,17004,45549,18884,21072,202,3,30,12,175,6,66,0,0,0,0,0,0,0,90,6257,20576,11010,16685,15700,10043,6578,24940,29423,27076,180,8835,19884,43229,12038,9081,12405,6178,344,377,1597,696,908,222,970,5914,20865,16242,37928,10026,14253,26846,19102,15390,6888,29318,56630,20693,6564,6450,3501,7270,281,392,256,1148,810,618,562,4287,16948,16204,17107,14077,8616,19559,7418,34535,33381,22732,36939,8299,20441,8470,11462
6,1068,917,606,676,596,34090,17938,14812,28039,33920,33915,31508,34775,28736,18529,21393,560,688,1327,11248,10405,17734,11928,15147,1190,1171,1329,223,2134,1092,804,612,1026,1160,17031,844,2838,5299,14206,1707,1273,10571,21261,13627,14762,10882,14540,8960,1272,861,650,1598,1246,747,1253,6828,2171,743,1115,8682,15537,4205,32832,20271,65833,68770,61014,65715,54349,55070,49615,22743,16491,1020,1699,956,1550,1522,1340,769,952,492,7590,8469,776,38203,75308,75525,67553,71248,70348,59606,40791,44266,36182,27290,32896,26381,32577,12175,1731,754,1185,1454,743,591,5868,9470,897,14198,11931,9595,5087,17686,12559,13182,17699,17092,22430,5865
7,1386,818,2135,974,241,1026,1812,688,1343,3193,17975,12786,6624,43606,8194,34133,31975,24406,35533,25412,19397,13320,28790,3784,2279,670,466,860,225,2466,1812,781,1727,1168,4560,24084,7791,20472,86249,50213,29343,32358,17770,22973,24559,24923,34134,15268,18216,41792,6130,883,1043,559,1930,437,2859,1445,720,6870,18703,37543,34935,10266,11640,11600,23744,4249,5718,18345,7844,11947,5738,3146,1179,694,476,1598,643,698,1454,2432,13403,42379,15855,26916,47174,41024,69943,58353,52793,34690,17520,13738,7639,11607,6766,2189,1164,454,412,737,320,2870,1423,1190,14045,4860,4860,4860,4860,4860,4860,4860,4860,4860,11096,14692,4612,10552
8,2882,871,411,2840,1243,506,1093,11200,21471,25424,35718,9398,3343,3363,3472,5402,12234,16475,15489,10836,10545,19962,8731,14398,12967,9619,1128,1262,815,1526,609,586,747,9840,11773,7125,30954,17542,5555,3167,3328,32870,30021,14039,21970,19606,15257,4779,10020,4500,22497,18566,786,867,728,1567,1238,10932,2080,12063,14431,15879,10992,5962,22054,32463,15393,3157,21089,15024,13325,13739,9357,544,1737,568,902,584,1188,8733,1140,457,4268,17472,22223,12152,14741,10241,8999,9112,30243,13350,9117,5377,10868,4559,5756,17611,662,2035,1323,673,2370,1305,8776,10206,28341,20220,26394,31199,8472,5947,2743,15931,23580,6301,15973,6910,13108,13048
9,959,328,1629,641,440,548,346,12782,31878,24143,44077,27259,48346,48595,33069,37756,41776,48462,66345,45954,31324,26594,36162,4696,951,1220,563,740,1225,1929,1004,2965,32139,36958,53957,57254,48257,44498,44702,26645,36407,17885,18644,15746,17313,30211,26523,4361,5806,734,131,447,423,1306,516,18586,35659,20100,21642,18689,26571,14201,30283,35830,42906,36147,35981,31263,40085,27106,30566,7740,1186,400,794,550,552,929,2575,14612,40114,39886,40989,28275,25715,19740,34928,49429,27818,15546,20291,8196,20261,38203,17621,24933,508,929,747,1103,1566,1189,1187,1759,1158,10275,22857,19036,18797,38353,31743,59056,49177,27083,46986,48047,21038,24383,22916,520
