,5days_sleep_time_activity,5days_day_time_activity,Id
0,10693.6,228824,condition
1,48771.2,239278.2,condition
2,43211,317726,condition
3,56892.4,194298.2,condition
4,31303.8,200302.2,condition
5,26634.2,240767.8,condition
6,61643.6,335598.2,condition
7,34374.2,284320.6,condition
8,42992,203120,condition
9,25811,482765,condition
10,50147,153494.6,condition
11,34576.6,228420.4,condition
12,62330.8,291661.6,condition
13,42878,72237.4,condition
14,42016.2,164387.4,condition
15,17938.8,397321,condition
16,24344.6,85835.4,condition
17,40038.4,64142,condition
18,17014,189703.4,condition
19,10301.8,84496.8,condition
20,4627,91568.8,condition
21,18023.6,183974.4,condition
22,29581.2,235831.4,condition
,,,
mean,33745.4,216090.2,
std,16410.4,105220.8,
min,4627,64142,
25%,21184.1,158941,
50%,34374.2,203120,
75%,43101.5,262544.2,
max,62330.8,482765,
,,,
quantile1,21184.1,158941,
quantile3,43101.5,262544.2,
,,,
IQR,21917.4,103603.2,
,,,
lower limit,11692,3536.2,
upper limit,75977.6,417948.9,
,,,
outlier,,482765,
