,5days_sleep_time_activity,5days_day_time_activity,Id
0,62703.4,257546.4,control
1,51929.0,475113.4,control
2,34742.8,347817.0,control
3,23481.0,255676.4,control
4,49904.8,398723.0,control
5,103205.0,431101.8,control
6,115329.4,479807.0,control
7,124525.0,467588.6,control
8,19149.8,169119.2,control
9,35635.0,293293.2,control
10,37543.8,233625.8,control
11,30825.2,227922.0,control
12,28298.2,246814.8,control
13,97899.4,471340.6,control
14,64710.4,373257.6,control
15,50966.2,343819.2,control
16,54870.4,304521.0,control
17,54821.6,327886.0,control
18,79226.0,233218.6,control
19,62504.0,480728.2,control
20,129507.8,260240.4,control
21,41799.6,326000.6,control
22,43280.4,249467.8,control
23,65133.6,584654.0,control
24,67783.8,462165.4,control
25,111668.2,464377.6,control
26,84647.2,331799.6,control
27,96948.4,343388.2,control
28,60045.6,327889.8,control
29,45442.2,284416.2,control
30,60903.2,392232.0,control
31,47928.8,151957.4,control
32,10693.6,228824.0,condition
33,48771.2,239278.2,condition
34,43211.0,317726.0,condition
35,56892.4,194298.2,condition
36,31303.8,200302.2,condition
37,26634.2,240767.8,condition
38,61643.6,335598.2,condition
39,34374.2,284320.6,condition
40,42992.0,203120.0,condition
41,25811.0,482765.0,condition
42,50147.0,153494.6,condition
43,34576.6,228420.4,condition
44,62330.8,291661.6,condition
45,42878.0,72237.4,condition
46,42016.2,164387.4,condition
47,17938.8,397321.0,condition
48,24344.6,85835.4,condition
49,40038.4,64142.0,condition
50,17014.0,189703.4,condition
51,10301.8,84496.8,condition
52,4627.0,91568.8,condition
53,18023.6,183974.4,condition
54,29581.2,235831.4,condition
